Epoch [413/10000] | D: -1.7242 | G: -298.9930
Epoch [414/10000] | D: -43.8166 | G: -297.5815
Epoch [415/10000] | D: -14.3383 | G: -247.2747
Epoch [416/10000] | D: -34.4302 | G: -319.3531
Epoch [417/10000] | D: -29.8746 | G: -179.5892
Epoch [418/10000] | D: -9.0624 | G: -250.4249
Epoch [419/10000] | D: -53.1885 | G: -238.1623
Epoch [420/10000] | D: -8.2874 | G: -292.0243
Epoch [421/10000] | D: -14.5117 | G: -365.4220
Epoch [422/10000] | D: -25.6833 | G: -331.9751
Epoch [423/10000] | D: -20.7429 | G: -264.0634
Epoch [424/10000] | D: -13.7331 | G: -298.4926
Epoch [425/10000] | D: -0.4763 | G: -393.3076
Epoch [426/10000] | D: -34.2088 | G: -178.7550
Epoch [427/10000] | D: -8.6209 | G: -279.3140
Epoch [428/10000] | D: -43.5804 | G: -231.4783
Epoch [429/10000] | D: -13.5338 | G: -252.0363
Epoch [430/10000] | D: -14.7303 | G: -133.6418
Epoch [431/10000] | D: -15.8156 | G: -184.2130
Epoch [432/10000] | D: -19.5047 | G: -225.3924
Epoch [433/10000] | D: -26.2760 | G: -170.6712
Epoch [434/10000] | D: -36.9756 | G: -204.9973
Epoch [435/10000] | D: -20.6538 | G: -305.6619
Epoch [436/10000] | D: -25.9748 | G: -292.6579
Epoch [437/10000] | D: -16.3933 | G: -244.1072
Epoch [438/10000] | D: -19.8159 | G: -277.7740
Epoch [439/10000] | D: -16.7779 | G: -203.4713
Epoch [440/10000] | D: -32.0455 | G: -260.8746
Epoch [441/10000] | D: 5.8741 | G: -302.7084
Epoch [442/10000] | D: -32.7933 | G: -255.4934
Epoch [443/10000] | D: -36.1359 | G: -213.0425
Epoch [444/10000] | D: -23.1782 | G: -254.9345
Epoch [445/10000] | D: -2.4060 | G: -192.7974
Epoch [446/10000] | D: -20.0738 | G: -333.3462
Epoch [447/10000] | D: -32.8716 | G: -222.8263
Epoch [448/10000] | D: -11.0761 | G: -221.3170
Epoch [449/10000] | D: -41.4938 | G: -319.7985
Epoch [450/10000] | D: 1.6892 | G: -242.9173
Epoch [451/10000] | D: -15.4761 | G: -349.4361
Epoch [452/10000] | D: -18.7247 | G: -282.9170
Epoch [453/10000] | D: -15.3329 | G: -261.0292
Epoch [454/10000] | D: -31.0031 | G: -303.1297
Epoch [455/10000] | D: -1.3470 | G: -205.9077
Epoch [456/10000] | D: -6.0303 | G: -195.8096
Epoch [457/10000] | D: 1.1686 | G: -252.0833
Epoch [458/10000] | D: -39.0979 | G: -316.1330
Epoch [459/10000] | D: -30.6035 | G: -273.0059
Epoch [460/10000] | D: -40.1999 | G: -274.6525
Epoch [461/10000] | D: 7.4488 | G: -294.7389
Epoch [462/10000] | D: -3.8488 | G: -206.1823
Epoch [463/10000] | D: -43.0886 | G: -229.0657
Epoch [464/10000] | D: -30.8390 | G: -294.0893
Epoch [465/10000] | D: -30.3749 | G: -182.6795
Epoch [466/10000] | D: -19.6979 | G: -306.2392
Epoch [467/10000] | D: -18.8996 | G: -220.0884
Epoch [468/10000] | D: -11.2655 | G: -166.5107
Epoch [469/10000] | D: -23.0086 | G: -243.3514
Epoch [470/10000] | D: -11.7543 | G: -235.1142
Epoch [471/10000] | D: -35.6222 | G: -192.7801
Epoch [472/10000] | D: -29.6852 | G: -123.1180
Epoch [473/10000] | D: -11.9089 | G: -221.4403
Epoch [474/10000] | D: -33.8056 | G: -197.7698
Epoch [475/10000] | D: -22.4849 | G: -236.0544
Epoch [476/10000] | D: -43.8337 | G: -197.5523
Epoch [477/10000] | D: -9.9199 | G: -265.5756
Epoch [478/10000] | D: -35.5623 | G: -183.8504
Epoch [479/10000] | D: -5.8152 | G: -247.6634
Epoch [480/10000] | D: -38.8543 | G: -188.2890
