Epoch [351/10000] | D: -57.3393 | G: -205.1117
Epoch [352/10000] | D: -58.0715 | G: -289.3715
Epoch [353/10000] | D: -73.2905 | G: -406.8077
Epoch [354/10000] | D: -38.4472 | G: -158.4756
Epoch [355/10000] | D: -37.5658 | G: -281.7819
Epoch [356/10000] | D: -58.3211 | G: -266.4741
Epoch [357/10000] | D: -20.0352 | G: -263.3719
Epoch [358/10000] | D: -6.4285 | G: 17.6317
Epoch [359/10000] | D: -74.1213 | G: -135.6992
Epoch [360/10000] | D: -93.0161 | G: -438.3965
Epoch [361/10000] | D: -21.5526 | G: -227.5072
Epoch [362/10000] | D: -52.9470 | G: -252.2045
Epoch [363/10000] | D: -11.6686 | G: -245.4549
Epoch [364/10000] | D: -48.8409 | G: -52.2806
Epoch [365/10000] | D: 0.7613 | G: -230.1158
Epoch [366/10000] | D: -18.5324 | G: -175.4546
Epoch [367/10000] | D: -45.2963 | G: 8.0714
Epoch [368/10000] | D: -33.7770 | G: -141.3462
Epoch [369/10000] | D: -38.0675 | G: -278.5343
Epoch [370/10000] | D: -78.2140 | G: -400.5143
Epoch [371/10000] | D: -48.8217 | G: -325.1165
Epoch [372/10000] | D: -80.1066 | G: -529.3010
Epoch [373/10000] | D: -52.0958 | G: -460.1144
Epoch [374/10000] | D: -61.9581 | G: -236.0404
Epoch [375/10000] | D: -28.5222 | G: -226.9043
Epoch [376/10000] | D: -7.0926 | G: -165.6111
Epoch [377/10000] | D: -33.2062 | G: -381.8146
Epoch [378/10000] | D: -56.2386 | G: -426.7310
Epoch [379/10000] | D: -37.0219 | G: -216.2220
Epoch [380/10000] | D: -22.4302 | G: -145.8191
Epoch [381/10000] | D: -38.6368 | G: -153.6858
Epoch [382/10000] | D: -30.7304 | G: -226.4410
Epoch [383/10000] | D: -51.8687 | G: -251.6624
Epoch [384/10000] | D: -36.7492 | G: -220.0127
Epoch [385/10000] | D: -32.1993 | G: -209.5610
Epoch [386/10000] | D: -28.9322 | G: -104.0534
Epoch [387/10000] | D: -22.6917 | G: -298.9512
Epoch [388/10000] | D: -64.7765 | G: -368.3666
Epoch [389/10000] | D: -18.1305 | G: -185.8221
Epoch [390/10000] | D: -14.3559 | G: -376.0247
Epoch [391/10000] | D: -19.0964 | G: -216.0582
Epoch [392/10000] | D: -51.3845 | G: -148.4144
Epoch [393/10000] | D: -42.6258 | G: -214.7765
Epoch [394/10000] | D: -31.3862 | G: -282.1622
Epoch [395/10000] | D: -41.0971 | G: -268.1096
Epoch [396/10000] | D: -34.9582 | G: -369.6948
Epoch [397/10000] | D: -73.5595 | G: -310.4577
Epoch [398/10000] | D: 18.1907 | G: -111.4179
Epoch [399/10000] | D: -64.4268 | G: -142.3807
Epoch [400/10000] | D: -18.0288 | G: -305.4090
Váhy pro generátor a diskriminátor při epoše 400 byly uloženy.
Vizualizace mřížky pro epochu 400
Obrázek uložen do vizualizace\epoch_00400.png
Epoch [401/10000] | D: -52.0205 | G: -163.2021
Epoch [402/10000] | D: -40.6544 | G: -140.8430
